ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
143,"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
252,Youcef Abdi,M,30.0,178.0,66.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
252,Youcef Abdi,M,34.0,178.0,66.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
257,Ali Abdo,M,19.0,169.0,74.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
257,Ali Abdo,M,23.0,169.0,74.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",
257,Ali Abdo,M,27.0,169.0,74.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",
465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
692,"James Dudley ""Jim"" Achurch",M,28.0,,,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Javelin Throw,
735,"Benjamin Maxwell ""Ben"" Acton",M,32.0,,,Australia,AUS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,
805,April Jane Adams,F,19.0,,,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Platform,
817,"Gerard ""Gerry"" Adams",M,38.0,177.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",
817,"Gerard ""Gerry"" Adams",M,38.0,177.0,70.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",
823,Liam Adams,M,29.0,178.0,64.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,
824,Luke Kendall Adams,M,27.0,189.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,
824,Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,
824,Luke Kendall Adams,M,31.0,189.0,70.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,
824,Luke Kendall Adams,M,35.0,189.0,70.0,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,
828,Maureen Adams,F,38.0,169.0,68.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,
834,Paul Adams,M,24.0,185.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,
835,"Phillip Maxwell ""Phil"" Adams",M,39.0,163.0,93.0,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,43.0,163.0,93.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,43.0,163.0,93.0,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",
835,"Phillip Maxwell ""Phil"" Adams",M,46.0,163.0,93.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",
